Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Market Value (M€)
1,Max Aarons,eng ENG,DF,Bournemouth,24.0,2000,3.0,1.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,6.0
2,Joshua Acheampong,eng ENG,DF,Chelsea,18.0,2006,4.0,2.0,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,0.0,8.0,0.0,0.00,0.00,0.00,0.00,0.0,0.12,0.00,0.12,0.12,0.12,
3,Tyler Adams,us USA,MF,Bournemouth,25.0,1999,28.0,21.0,1.965,21.8,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,1.6,1.6,1.0,2.6,14.0,76.0,10.0,0.00,0.14,0.14,0.00,0.14,0.07,0.05,0.12,0.07,0.12,18.0
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,26.0,1997,22.0,15.0,1.409,15.7,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,0.2,1.2,5.0,42.0,1.0,0.06,0.06,0.13,0.06,0.13,0.06,0.01,0.07,0.06,0.07,20.0
5,Simon Adingra,ci CIV,"FW,MF",Brighton,22.0,2002,29.0,12.0,1.097,12.2,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,4.9,50.0,18.0,136.0,0.16,0.16,0.33,0.16,0.33,0.20,0.20,0.4,0.20,0.40,28.0
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27.0,1997,16.0,16.0,1.41,15.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,0.2,1.1,6.0,31.0,2.0,0.06,0.00,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07,20.0
7,Asher Agbinone,eng ENG,MF,Crystal Palace,18.0,2005,2.0,0.0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,1.0,0.00,0.00,0.00,0.00,0.0,0.29,0.50,0.79,0.29,0.79,0.5
8,Ola Aina,ng NGA,DF,Nott'ham Forest,27.0,1996,35.0,35.0,2.995,33.3,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.6,0.6,1.4,2.1,67.0,107.0,67.0,0.06,0.03,0.09,0.06,0.09,0.02,0.04,0.06,0.02,0.06,22.0
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23.0,2001,37.0,37.0,3.109,34.5,4.0,7.0,11.0,4.0,0.0,0.0,7.0,1.0,2.7,2.7,5.5,8.2,89.0,108.0,176.0,0.12,0.20,0.32,0.12,0.32,0.08,0.16,0.24,0.08,0.24,35.0
10,Kristoffer Ajer,no NOR,DF,Brentford,26.0,1998,24.0,17.0,1.438,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.2,2.2,27.0,56.0,44.0,0.00,0.00,0.00,0.00,0.0,0.06,0.08,0.14,0.06,0.14,18.0
